Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
6a84377e94cfb16aedadedd9,M1- Rédiger le cahier des charges,https://trello.com/c/7n48C6Q3/9-m1-r%C3%A9diger-le-cahier-des-charges,,,mohamed168,,0,,5,5,0,0,2026-08-24T09:45:08.028Z,6a8436db2e0084a9cfb030c9,M1 - Cadrer,6a8436db2e0084a9cfb03098,Projet Smart School KANBAN,false,,true,
6a882c9882b3b3f318e7a900,M1- Définir les critères d'acceptation testables,https://trello.com/c/f3NkVRyt/10-m1-d%C3%A9finir-les-crit%C3%A8res-dacceptation-testables,,,mohamed168,,0,,7,7,0,0,2026-08-24T10:53:58.815Z,6a8436db2e0084a9cfb030c9,M1 - Cadrer,6a8436db2e0084a9cfb03098,Projet Smart School KANBAN,false,,true,
6a88318952e3e4229666c4d6,M1- Définir les métriques de pilotage,https://trello.com/c/jVGOXCTv/51-m1-d%C3%A9finir-les-m%C3%A9triques-de-pilotage,,,ghizlanmisb,,0,,6,6,0,0,2026-08-27T09:54:32.172Z,6a8436db2e0084a9cfb030c9,M1 - Cadrer,6a8436db2e0084a9cfb03098,Projet Smart School KANBAN,false,,true,
6a882d1167768b0bb65543ff,M2 Créer le backlog priorisé (MoSCoW),https://trello.com/c/hKugJKrX/12-m2-cr%C3%A9er-le-backlog-prioris%C3%A9-moscow,,,mohamed168,,0,,12,12,0,0,2026-08-27T09:55:35.609Z,6a882ceeb639b1fb764e14ba,M2- Organiser,6a8436db2e0084a9cfb03098,Projet Smart School KANBAN,false,,true,
6a882d290c6511b5ff3b6344,M2- Mettre en place le board Trello (Kanban),https://trello.com/c/f3PUI9Lz/13-m2-mettre-en-place-le-board-trello-kanban,,,mohamed168,,0,,4,4,0,0,2026-08-26T12:23:14.191Z,6a882ceeb639b1fb764e14ba,M2- Organiser,6a8436db2e0084a9cfb03098,Projet Smart School KANBAN,false,,true,
6a882d3ba465b5f1e23cc684,M2- Rédiger la Definition of Done,https://trello.com/c/cMuKZsCQ/14-m2-r%C3%A9diger-la-definition-of-done,,,salaheddinekhalf,,0,,5,5,0,0,2026-08-26T12:26:14.460Z,6a882ceeb639b1fb764e14ba,M2- Organiser,6a8436db2e0084a9cfb03098,Projet Smart School KANBAN,false,,true,
6a882d491d90e6ac1670963d,M2- Construire la matrice RACI,https://trello.com/c/3Zqcd1Gy/15-m2-construire-la-matrice-raci,,,"meriembrd, mohamed168",,0,,7,7,0,0,2026-08-26T12:25:57.420Z,6a882ceeb639b1fb764e14ba,M2- Organiser,6a8436db2e0084a9cfb03098,Projet Smart School KANBAN,false,,true,
6a882d75d6650b120daaf7e0,M3- POC lecture badge RFID sur ESP32,https://trello.com/c/FUEG0xiZ/16-m3-poc-lecture-badge-rfid-sur-esp32,,,salaheddinekhalf,,0,,3,3,0,0,2026-08-26T12:22:15.594Z,6a882d5bacd186845d3a76ef,M3 - Expérimenter,6a8436db2e0084a9cfb03098,Projet Smart School KANBAN,false,,true,
6a882d84120425266ce1ca87,M3- POC prompt de correction LLM,https://trello.com/c/C6xC8VSi/17-m3-poc-prompt-de-correction-llm,,,mohamed168,,0,,4,4,0,0,2026-08-26T12:22:24.849Z,6a882d5bacd186845d3a76ef,M3 - Expérimenter,6a8436db2e0084a9cfb03098,Projet Smart School KANBAN,false,,true,
6a882d95f4172a30a1a3445c,M3- Vérifier hypothèses de confiance IA (échantillon copies),https://trello.com/c/h5MEfWq2/18-m3-v%C3%A9rifier-hypoth%C3%A8ses-de-confiance-ia-%C3%A9chantillon-copies,,,meriembrd,,0,,4,4,0,0,2026-08-24T10:55:03.339Z,6a882d5bacd186845d3a76ef,M3 - Expérimenter,6a8436db2e0084a9cfb03098,Projet Smart School KANBAN,false,,true,
